Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Grand Erie DSB,916412,Tollgate Technological Skills Centre Secondary School,English,112 Tollgate,Brantford,N3R4Z6,306,43.16632,-80.28707,SP,NA,86.3,NA,NA,NA,NA,0.02,-6,26.43,SP
Grand Erie DSB,949035,Valley Heights Secondary School,English,2561 Hwy,Langton,N0E1G0,558,42.69409,-80.5397,45,SP,17.6,SP,0.65,-17,0.48,0.6,-11,17.13,SP
Grand Erie DSB,950785,Waterford District High School,English,227 Main,Waterford,N0E1Y0,405,42.92827,-80.28839,SP,NA,38.3,SP,0.58,-9,0.38,0.71,10,15.08,SP
Greater Essex County DSB,929727,Belle River District High School,English,333 South,Belle River,N0R1A0,804,42.2884,-82.7118,2.1,SP,18.2,SP,0.92,2,0.72,0.72,-16,8.68,9.45
Greater Essex County DSB,909440,Essex District High School,English,244 Talbot,Essex,N8M2E1,724,42.17935,-82.82793,SP,SP,14.9,SP,0.94,14,0.51,0.72,-7,12.98,1.64
Greater Essex County DSB,911780,General Amherst High School,English,130 Sandwich,Amherstburg,N9V1Z8,647,42.1063,-83.1103,SP,SP,11,NA,0.95,-1,0.71,0.82,-2,11.73,5.51
Greater Essex County DSB,917249,Hon W C Kennedy Collegiate Institute,English,245 Tecumseh,Windsor,N8X2R2,843,42.2972,-83.02146,30.6,2.8,12.7,SP,0.65,-4,0.36,0.66,2,39.1,2.69
Greater Essex County DSB,920100,Kingsville District High School,English,170 Main,Kingsville,N9Y1A6,588,42.03865,-82.73076,8.7,SP,12.4,NA,0.87,9,0.58,0.87,6,14.38,6.93
Greater Essex County DSB,922188,Leamington District Secondary School,English,125 Talbot,Leamington,N8H1N2,892,42.05144,-82.60747,27.1,2.8,12,SP,0.99,17,0.58,0.77,1,18.08,2.43
Greater Essex County DSB,939218,Riverside Secondary School,English,8465 Jerome,Windsor,N8S1W8,897,42.33101,-82.93679,19.3,1.3,17.7,SP,0.74,7,0.32,0.75,0,24.19,5.85
Greater Essex County DSB,939765,Sandwich Secondary School,English,7050 Malden,LaSalle,N9J2T5,961,42.22395,-83.06033,6.1,SP,11.1,SP,0.81,-5,0.56,0.89,1,14.26,13.09
Greater Essex County DSB,902299,Tecumseh Vista Academy- Secondary,English,11555 Shields,Tecumseh,N8N2M1,620,42.27812,-82.89233,10,SP,16.8,SP,0.89,6,0.4,0.92,6,11.33,15.47
Greater Essex County DSB,949612,Vincent Massey Secondary School,English,1800 Liberty,Windsor,N9E1J2,1833,42.25966,-83.02687,51.2,3.1,9.1,1.2,0.91,-1,0.41,0.9,-1,26.21,16.95
Greater Essex County DSB,950009,W. F. Herman Academy Secondary School,English,1905 Bernard,Windsor,N8W4R5,719,42.30719,-82.97359,10.3,SP,20.7,NA,0.71,-11,0.49,0.72,-7,32.53,3.31
Greater Essex County DSB,950394,Walkerville Collegiate Institute,English,2100 Richmond,Windsor,N8Y1L4,919,42.31706,-83.0065,8.1,SP,18.6,1.3,0.84,-8,0.31,0.79,-4,32.59,4.81
Greater Essex County DSB,951927,Western Secondary School,English,5791 North Townline,Amherstburg,N9V2Y9,307,42.18451,-83.02082,5.2,NA,98,NA,N/D,NA,0.23,0.02,-20,16.34,5.02
Greater Essex County DSB,918806,Westview Freedom Academy Secondary School,English,1375 California,Windsor,N9B2Z8,520,42.29241,-83.05581,31,20,49.2,NA,0.86,29,0.3,0.41,7,45.1,3.28
Greater Essex County DSB,953822,Windsor Public Alternative,English,284 Cameron,Windsor,N9B1Y6,180,42.31358,-83.05403,9.4,NA,22.2,SP,NA,NA,NA,N/R,NA,31.18,SP
Halton CDSB,688231,Assumption Roman Catholic Secondary School,English,3230 Woodward,Burlington,L7N3P1,887,43.34836,-79.78368,12.7,3.4,21.6,2.8,0.84,-3,0.38,0.89,-4,14.55,11.48
Halton CDSB,689726,Bishop Paul Francis Reding Secondary School,English,1120 Main,Milton,L9T6H7,1364,43.53094,-79.86268,26,3.7,11.4,2.1,0.93,0,0.62,0.86,-5,14.96,14.25
Halton CDSB,697125,Christ the King Catholic Secondary School,English,161 Guelph,Georgetown,L7G4A6,1560,43.6511,-79.90939,5.3,SP,19,1.9,0.87,-2,0.66,0.87,-6,8.68,12.03
Halton CDSB,761182,Corpus Christi Catholic Secondary School,English,5150 UPPER MIDDLE,BURLINGTON,L7L0E5,985,43.398134,-79.785033,16.5,2,13.3,1.5,0.87,2,0.63,0.86,-8,11.58,21.33
Halton CDSB,704300,Holy Trinity Catholic Secondary School,English,2420 Sixth,Oakville,L6H3N8,1196,43.47207,-79.72419,15.1,3.3,16.5,1.3,0.76,-6,0.52,0.85,-3,14.48,31.58
Halton CDSB,696392,Jean Vanier Catholic Secondary School,English,1145 Bronte Street South,Milton,L9T8B4,1094,43.48773,-79.8578,31.7,6.9,13.1,SP,0.89,7,0.7,0.85,2,20.45,37.19
Halton CDSB,738271,Notre Dame Roman Catholic Secondary School,English,2333 Headon Forest,Burlington,L7M3X6,1009,43.37807,-79.83066,9.1,1.6,20.5,2.1,0.76,-13,0.33,0.88,-2,11.65,16.96
Halton CDSB,798010,St Ignatius of Loyola Secondary School,English,1550 Nottinghill,Oakville,L6M1X7,1115,43.44472,-79.73359,20.8,3.9,12.7,1.7,0.83,-12,0.55,0.91,-2,14.55,39.58
Halton CDSB,854212,St Thomas Aquinas Roman Catholic Secondary School,English,124 Dorval,Oakville,L6K2W1,1336,43.43614805,-79.68032156,20.1,7.9,13.9,2.8,0.82,1,0.52,0.83,-5,17.07,24.22
Halton CDSB,684465,Thomas Merton Catholic Secondary School,English,171 Speers,Oakville,L6K3W8,206,43.33232,-79.80831,14.1,SP,7.3,NA,N/R,NA,N/R,N/R,NA,19.77,19.96
Halton DSB,913715,Abbey Park High School,English,1455 Glen Abbey,Oakville,L6M2G5,954,43.43636,-79.73622,37.7,8.1,22.7,11.4,0.97,1,0.62,0.92,-1,16.81,35.94
Halton DSB,890332,Acton District High School,English,21 Cedar,Acton,L7J2V2,453,43.64305,-80.03317,5.3,SP,24.9,SP,0.87,4,0.57,0.78,0,11.89,4.38
Halton DSB,890987,Aldershot High School,English,50 Fairwood,Burlington,L7T1E5,436,43.3036,-79.85258,10.3,SP,17.2,SP,0.84,-7,0.67,0.86,-2,15.4,18.24
Halton DSB,897353,Burlington Central High School,English,1433 Baldwin,Burlington,L7S1K4,593,43.32951,-79.80604,24.3,8.4,18.4,SP,0.79,-6,0.24,0.83,3,20.48,12.08
Halton DSB,967740,Craig Kielburger Secondary School,English,1151 Ferguson Drive,Milton,L9T7V8,1499,43.51472,-79.82683,38.1,5.4,27,1.1,0.94,-3,0.57,0.8,-2,15.71,17.59
Halton DSB,893675,Dr. Frank J. Hayden Secondary School,English,3040 Tim Dobbie,Burlington,L7M0M3,1425,43.39801,-79.8184,29,3.2,12.9,SP,0.9,4,0.55,0.87,-1,11.8,25.46
Halton DSB,901439,Garth Webb Secondary School,English,2820 Westoak Trails Boulevard,Oakville,L6M4W2,1092,43.4348,-79.75466,39.1,7.5,13.9,SP,0.92,4,0.5,0.93,1,14.52,44.01
Halton DSB,911607,Gary Allan High School - Bronte Creek,English,3250 New,Burlington,L7N1M8,32,43.343117118,-79.777129918,SP,NA,31.3,NA,NA,NA,NA,0.86,-1,SP,SP
Halton DSB,940968,Gary Allan High School - Burlington,English,3250 New,Burlington,L7N1M8,370,43.3434,-79.77666,13.5,4.9,7.3,SP,NA,NA,NA,N/R,NA,17.18,12.32
Halton DSB,890405,Gary Allan High School - Halton Hills,English,96 Guelph,Georgetown,L7G3Z5,166,43.650689,-79.917654,SP,NA,13.9,NA,NA,NA,NA,N/D,NA,12.46,10.42
Halton DSB,940976,Gary Allan High School - Milton,English,215 Ontario,Milton,L9T4N5,216,43.51439,-79.871042,28.2,10.6,8.8,NA,NA,NA,NA,N/D,NA,17.33,18.83
Halton DSB,940984,Gary Allan High School - Oakville,English,1330 Montclair,Oakville,L6H1Z5,138,43.462766843,-79.702129689,13,SP,SP,NA,NA,NA,NA,N/D,NA,16.5,23.56
Halton DSB,911615,Gary Allan High School - SCORE,English,3450 New,Burlington,L7N1M8,20,43.349385,-79.772299,NA,NA,50,NA,NA,NA,NA,0.17,-22,SP,SP
Halton DSB,940925,Gary Allan High School - STEP,English,1330 Montclair,Oakville,L6H1Z5,164,43.462766843,-79.702129689,SP,SP,42.1,NA,NA,NA,NA,N/R,NA,17.68,10.18
Halton DSB,912433,Georgetown District High School,English,70 Guelph,Georgetown,L7G3Z5,1654,43.65082,-79.92111,8.3,SP,29.3,3.5,0.93,2,0.45,0.82,-2,9.41,13.61
Halton DSB,918300,Iroquois Ridge High School,English,1123 Glenashton,Oakville,L6H5M1,1358,43.48865,-79.69905,39.2,6.6,19.7,8,0.97,3,0.48,0.93,0,14.8,38.16
Halton DSB,922501,Lester B. Pearson High School,English,1433 Headon,Burlington,L7M1V7,416,43.37356,-79.80763,20.2,SP,16.8,SP,0.91,13,0.82,0.87,-6,10.92,17.02
Halton DSB,924393,M M Robinson High School,English,2425 Upper Middle,Burlington,L7P3N9,740,43.36377,-79.82479,11.8,SP,26.5,SP,0.75,8,0.5,0.77,-5,14.47,7.81
Halton DSB,926736,Milton District High School,English,396 Williams,Milton,L9T2G4,921,43.50583,-79.87092,37.5,4.7,17.4,3.3,0.89,1,0.59,0.87,0,17.85,26.78
Halton DSB,928160,Nelson High School,English,4181 New,Burlington,L7L1T3,996,43.35804,-79.76526,11.8,SP,24.9,10.2,0.97,6,0.42,0.9,-2,12.1,18.59
Halton DSB,932060,Oakville Trafalgar High School,English,1460 Devon,Oakville,L6J3L6,1245,43.4729,-79.65478,25.4,5.3,17.8,5.3,0.95,0,N/R,0.94,-2,10.86,31.89
Halton DSB,937665,Robert Bateman High School,English,5151 New,Burlington,L7L1V3,797,43.37166,-79.74982,23.8,2,41.8,1.6,0.91,2,0.36,0.67,-15,15.65,11.57
Halton DSB,947539,Thomas A Blakelock High School,English,1160 Rebecca,Oakville,L6L1Y9,1125,43.41991,-79.69479,31.5,5,15.6,1.4,0.96,5,0.75,0.87,0,15.95,21.66
Halton DSB,953121,White Oaks High School,English,1330 Montclair,Oakville,L6H1Z5,1865,43.46353,-79.70149,52,6.2,22.2,2.9,0.95,1,0.53,0.91,1,17.25,28.9
Hamilton-Wentworth CDSB,689750,Bishop Ryan Catholic Secondary School,English,1824 Rymal Road East,Hamilton,L8K5J3,1605,43.18156,-79.81642,17.7,2.3,19.1,0.9,0.76,-7,0.38,0.83,0,17.5,5.56
Hamilton-Wentworth CDSB,689386,Bishop Tonnos Catholic Secondary School,English,100 Panabaker,Ancaster,L9G5E3,1157,43.2017,-79.9952,10.3,SP,20.1,1.1,0.88,-6,0.59,0.85,-2,11.66,18.16
Hamilton-Wentworth CDSB,694134,Cardinal Newman Catholic Secondary School,English,127 Gray,Stoney Creek,L8G3V3,1509,43.22159,-79.74547,14.7,1.6,15.2,1.3,0.89,7,0.56,0.85,3,16.05,6.36
Hamilton-Wentworth CDSB,695343,Cathedral High School,English,30 Wentworth,Hamilton,L8L8H5,1235,43.25115,-79.85456,24.5,6.2,20.4,SP,0.78,0,0.25,0.58,-4,33.9,1.04
Hamilton-Wentworth CDSB,838541,St. Charles Catholic Adult Secondary School,English,150 East th,Hamilton,L9A2Z8,557,43.23806,-79.87374999,5.2,17.2,SP,NA,NA,NA,NA,N/D,NA,30.8,4.22
Hamilton-Wentworth CDSB,800430,St. Jean de Brebeuf Catholic Secondary School,English,200 Acadia,Hamilton,L8W1B8,1578,43.20163,-79.86404,25.5,4.6,13.8,SP,0.84,8,0.5,0.75,-3,21.99,7.34
Hamilton-Wentworth CDSB,827401,St. Mary Catholic Secondary School,English,200 Whitney,Hamilton,L8S2G7,1057,43.2536,-79.9276,8.2,1.5,20.3,2,0.86,-3,0.59,0.86,-2,19.98,14.16
Hamilton-Wentworth CDSB,855685,St. Thomas More Catholic Secondary School,English,1045 Upper Paradise,Hamilton,L9B2N4,1927,43.21365,-79.91991,25.1,3.9,12.4,SP,0.79,3,0.3,0.79,0,20.02,9.86
Hamilton-Wentworth DSB,891894,Ancaster High School,English,374 Jerseyville,Ancaster,L9G3K8,1189,43.21583,-80.00521,15.2,1.6,16,2.2,0.87,1,0.43,0.87,2,11.74,19.81
Hamilton-Wentworth DSB,903850,Delta Secondary School,English,1284 Main,Hamilton,L8K1B2,710,43.2408,-79.81404,4.1,SP,29,SP,0.55,-23,0.27,0.43,-7,29.93,2.24
Hamilton-Wentworth DSB,916579,Dundas Valley Secondary School,English,310 Governor's,Dundas,L9H5P8,1031,43.25795,-79.97673,5.4,SP,21.5,2.8,0.85,-2,0.5,0.8,-6,13.15,13.07
Hamilton-Wentworth DSB,913081,Glendale Secondary School,English,145 Rainbow,Hamilton,L8K4G1,808,43.22524,-79.78025,47,7.3,20.7,SP,0.77,-2,0.35,0.64,-2,31.7,SP
Hamilton-Wentworth DSB,927163,King William Alter Ed Secondary School,English,225 King William,Hamilton,L8R1B1,85,43.255406,-79.860385,SP,SP,52.9,NA,NA,NA,NA,N/R,NA,33.74,SP
Hamilton-Wentworth DSB,893455,Nora Henderson Secondary School,English,75 Palmer,Hamilton,L8T3G1,688,43.21545,-79.84097,29.5,5.2,28.5,SP,0.75,7,0.29,0.53,2,24.34,4.56
Hamilton-Wentworth DSB,932507,Orchard Park Secondary School,English,200 DeWitt,Stoney Creek,L8E4M5,989,43.21771,-79.71158,36.5,SP,19.2,SP,0.9,-1,0.65,0.8,0,16.35,4.53
Hamilton-Wentworth DSB,939730,Saltfleet High School,English,108 Highland,Stoney Creek,L8J2T2,1177,43.18329,-79.77837,23.5,1.4,18.4,SP,0.86,1,0.42,0.73,-3,14.45,5.49
Hamilton-Wentworth DSB,941328,Sherwood Secondary School,English,25 High,Hamilton,L8T3Z4,1014,43.22772,-79.8231,8.3,SP,17.1,SP,0.71,-10,0.35,0.66,-10,20.82,3.09
Hamilton-Wentworth DSB,941719,Sir Allan MacNab Secondary School,English,145 Magnolia,Hamilton,L9C5P4,1101,43.23163,-79.92275,20.9,1.7,27.8,SP,0.77,0,0.41,0.64,-9,21.85,5.13
Hamilton-Wentworth DSB,941883,Sir John A Macdonald Secondary School,English,130 York,Hamilton,L8R1Y5,1015,43.26099,-79.87305,49.8,15.4,18.5,NA,0.52,-13,0.26,0.45,-2,39.98,1.93
Hamilton-Wentworth DSB,942448,Sir Winston Churchill Secondary School,English,1715 Main,Hamilton,L8H1E3,826,43.23756,-79.79511,8.2,SP,21.2,NA,0.51,-10,0.16,0.6,1,28.22,SP
Hamilton-Wentworth DSB,918563,Turning Point School,English,100 James,Hamilton,L8P2Z2,92,43.25383,-79.87041,SP,NA,18.5,NA,NA,NA,NA,N/R,NA,22.67,SP
Hamilton-Wentworth DSB,891401,Vincent Massey/James Street,English,155 Macassa,Hamilton,L9A2M8,100,43.22512,-79.84249,SP,NA,35,NA,N/R,NA,N/R,N/R,NA,26.86,SP
Hamilton-Wentworth DSB,950653,Waterdown District High School,English,215 Parkside,Waterdown,L8B1B9,1205,43.33407,-79.91094,4.2,SP,20.4,1.5,0.86,-3,0.45,0.83,0,22.95,19.08
Hamilton-Wentworth DSB,951820,Westdale Secondary School,English,700 Main,Hamilton,L8S1A5,1398,43.25959,-79.90099,21.5,2.4,23.5,1.9,0.79,-1,0.46,0.86,-1,23.51,7.57
Hamilton-Wentworth DSB,952478,Westmount Secondary School,English,39 Montcalm,Hamilton,L9C4B1,1493,43.22708,-79.89559,25.7,0.7,19.1,4.4,0.87,1,0.48,0.89,1,20.32,7.13
Hastings & Prince Edward DSB,893803,Bayside Secondary School,English,1247 Old Hwy,Belleville,K8N4Z2,724,44.12567,-77.47764,7.3,SP,20,NA,0.83,-2,0.53,0.81,1,14.75,5.72
Hastings & Prince Edward DSB,899275,Centennial Secondary School,English,160 Palmer,Belleville,K8P4E1,767,44.15707,-77.40571,4.4,SP,25.6,NA,0.75,-11,0.33,0.76,0,19.59,7.09
Hastings & Prince Edward DSB,900478,Centre Hastings Secondary School,English,129 Elgin,Madoc,K0K2K0,548,44.50505,-77.468,NA,NA,31.9,NA,0.84,1,0.5,0.52,-9,22.08,SP
Hastings & Prince Edward DSB,927252,Moira Secondary School,English,275 Farley,Belleville,K8N4M2,620,44.17633,-77.35235,7.6,SP,28.7,SP,0.75,-6,0.33,0.62,-17,22.42,9.76
Hastings & Prince Edward DSB,929980,North Hastings High School,English,16 Monck,Bancroft,K0L1C0,488,45.05771,-77.86232,SP,NA,35.5,NA,0.68,-2,0.36,0.57,-11,23.65,SP
Hastings & Prince Edward DSB,936618,Prince Edward Collegiate Institute,English,41 Barker,Picton,K0K2T0,581,44.0124,-77.1442,SP,SP,27.7,SP,0.74,-3,0.36,0.69,2,21.31,SP
Hastings & Prince Edward DSB,937134,Quinte Secondary School,English,45 College,Belleville,K8P2G3,561,44.17573,-77.3924,4.5,SP,33.3,NA,0.73,7,0.4,0.6,-1,21,3.35
Hastings & Prince Edward DSB,948705,Trenton High School,English,15 Fourth,Trenton,K8V5N4,602,44.09702,-77.59178,SP,SP,35.4,NA,0.68,10,0.48,0.64,-2,23.96,6.04
Huron Perth CDSB,771686,St Anne's Catholic School,English,353 Ontario,Clinton,N0M1L0,603,43.61378,-81.5288,2.7,SP,21.4,SP,0.71,-19,0.58,0.84,-6,13.81,3.49
Huron Perth CDSB,832545,St Michael Catholic Secondary School,English,240 Oakdale,Stratford,N5A7W2,848,43.38599,-80.99531,1.8,SP,20.4,SP,0.79,-4,0.44,0.82,0,13.79,4.44
Huron-Superior CDSB,713996,Holy Angels Learning Centre,English,102 Wellington,Sault Ste Marie,P6A2L2,146,46.5189,-84.3372,SP,NA,SP,NA,NA,NA,NA,N/R,NA,34.19,SP
Huron-Superior CDSB,776076,St Mary's College,English,868 Second,Sault Ste Marie,P6B4K4,1182,46.51822,-84.33532,1,SP,22.2,SP,0.69,-7,0.28,0.72,-3,20.5,7.63
James Bay Lowlands SSB,918598,Northern Lights Secondary School,English,1 Keewatin,Moosonee,P0L1Y0,182,51.284615314,-80.624046202,SP,SP,29.7,SP,0.3,-1,0.04,0.06,-52,37.03,SP
Kawartha Pine Ridge DSB,890464,Adam Scott Collegiate and Vocational Institute,English,175 Langton,Peterborough,K9H6K3,917,44.32755,-78.32114,1.7,SP,32.3,SP,0.75,-12,0.38,0.7,-14,19.22,8.68
Kawartha Pine Ridge DSB,895539,Bowmanville High School,English,49 Liberty,Bowmanville,L1C2L8,980,43.91501,-78.67997,1.8,SP,21.5,SP,0.86,9,0.58,0.77,-1,13.21,4.65
Kawartha Pine Ridge DSB,898260,Campbellford District High School,English,119 Ranney,Campbellford,K0L1L0,505,44.30884,-77.79116,SP,SP,24.6,NA,0.73,-21,0.61,0.75,0,17.4,SP
Kawartha Pine Ridge DSB,899224,Centre for Individual Studies,English,140 High,Bowmanville,L1C3C1,293,43.923887,-78.691927,SP,SP,33.1,NA,NA,NA,NA,N/R,NA,16.49,3.91
Kawartha Pine Ridge DSB,901687,Clarington Central Secondary School,English,200 Clarington,Bowmanville,L1C5N8,873,43.91312,-78.70949,2.4,SP,30.7,SP,0.79,8,0.53,0.69,-9,12.57,4.66
Kawartha Pine Ridge DSB,901512,Clarke High School,English,3425,Newcastle,L1B1L9,313,43.94323,-78.60187,SP,SP,22.7,SP,0.89,-4,0.62,0.84,-2,11.91,6.99
Kawartha Pine Ridge DSB,967836,Cobourg Collegiate Institute,English,335 King East,Cobourg,K9A1M2,1133,43.96219,-78.15222,1.5,SP,28.7,1.7,0.71,-4,0.44,0.78,1,15.57,4.68
Kawartha Pine Ridge DSB,903078,Courtice Secondary School,English,1717 Nash Rd & Courtice,Courtice,L1E2L8,721,43.91522,-78.78273,2.5,SP,22.1,SP,0.86,-5,0.7,0.81,1,12.22,12.12
Kawartha Pine Ridge DSB,903337,Crestwood Secondary School,English,1885 Sherbrooke,Peterborough,K9J6X4,714,44.28665,-78.38159,3.9,SP,32.9,SP,0.93,15,0.49,0.74,-14,14.62,9.75
Kawartha Pine Ridge DSB,906719,East Northumberland Secondary School,English,71 Dundas,Brighton,K0K1H0,997,44.0448,-77.7316,SP,SP,30.6,NA,0.88,-3,0.59,0.71,-5,13.62,3.19
Kawartha Pine Ridge DSB,919195,Kenner Collegiate and Vocational Institute,English,633 Monaghan,Peterborough,K9J5J2,595,44.27874,-78.32675,2.7,SP,39.3,SP,0.84,6,0.55,0.62,-5,26.87,1.86
Kawartha Pine Ridge DSB,931543,Norwood District High School,English,44 Elm,Norwood,K0L2V0,276,44.38282,-77.97247,SP,NA,38.4,SP,0.66,10,0.42,0.7,-4,18.66,SP
Kawartha Pine Ridge DSB,935182,Peterborough Collegiate and Vocational School,English,201 McDonnel,Peterborough,K9H2W1,332,44.30928,-78.32203,SP,NA,15.7,SP,N/D,NA,N/R,N/D,NA,29.09,SP
Kawartha Pine Ridge DSB,936090,Port Hope High School,English,130 Highland,Port Hope,L1A2A3,391,43.95749,-78.30935,2.6,SP,32.7,NA,0.82,5,0.5,0.6,-10,15.89,SP
Kawartha Pine Ridge DSB,947563,Thomas A Stewart Secondary School,English,1009 Armour,Peterborough,K9H7H2,937,44.33092,-78.30986,3.5,1.2,29.5,SP,0.74,-14,0.4,0.72,-1,18.86,5.88
Keewatin-Patricia DSB,894230,Beaver Brae Secondary School,English,1400 Ninth,Kenora,P9N2T7,555,49.77547,-94.463,SP,SP,24,NA,0.81,5,0.5,0.67,13,21.55,4.1
Keewatin-Patricia DSB,902748,Crolancia Secondary School,English,1 Trudel,Pickle Lake,P0V3A0,24,51.46618,-90.1949,NA,NA,SP,NA,N/R,NA,N/R,N/R,NA,SP,SP
Keewatin-Patricia DSB,905283,Dryden High School,English,79 Casimir,Dryden,P8N2H4,707,49.78045,-92.83357,SP,SP,21.4,NA,0.73,-1,0.39,0.65,-3,20.11,SP
Keewatin-Patricia DSB,918113,Ignace Secondary School,English,194 Davey Lake,Ignace,P0T1T0,76,49.40956,-91.66109,SP,NA,26.3,NA,N/R,NA,N/R,0.64,-11,21.72,SP
Keewatin-Patricia DSB,936871,Queen Elizabeth District High School,English,15 Fair,Sioux Lookout,P8T1A9,500,50.1027,-91.9104,3.4,SP,29,NA,0.92,17,0.21,0.38,-23,26.62,SP
Keewatin-Patricia DSB,937789,Red Lake District High School,English,60-C Highway,Red Lake,P0V2M0,289,51.01412,-93.81795,SP,SP,30.4,NA,0.77,11,0.71,0.72,13,10.59,SP
Kenora CDSB,864471,St Thomas Aquinas High School,English,1 Poirier,Kenora,P9N4G8,395,49.78385,-94.45923,SP,SP,21,SP,0.93,4,0.38,0.74,2,20.4,3.74
Lakehead DSB,915424,Hammarskjold High School,English,80 Clarkson,Thunder Bay,P7B4W8,763,48.44287,-89.25104,2.6,SP,20.6,NA,0.8,5,0.27,0.77,-6,22.81,5.36
Lakehead DSB,914410,Lakehead Alternative School,English,333 High,Thunder Bay,P7A5S3,109,48.38323,-89.26977,SP,NA,11.9,NA,NA,NA,NA,N/R,NA,27.96,SP
Lakehead DSB,942405,Sir Winston Churchill Collegiate and Vocational Institute,English,130 W Churchill,Thunder Bay,P7C1V5,716,48.389,-89.28265,5.7,SP,16.5,SP,0.95,7,0.47,0.83,6,21.29,4.72
Lakehead DSB,950848,Superior Collegiate and Vocational Institute,English,351 High,Thunder Bay,P7A5S3,644,48.44946,-89.22745,SP,SP,22.2,NA,0.89,9,0.41,0.79,12,20.24,3.69
Lakehead DSB,952087,Westgate Collegiate and Vocational Institute,English,707 James,Thunder Bay,P7E2V9,790,48.37316,-89.29105,1.6,SP,22.2,NA,0.71,5,0.4,0.85,3,17.8,2.94
Lambton Kent DSB,891274,Alexander Mackenzie Secondary School,English,1257 Michigan,Sarnia,N7S3Y3,486,42.99948,-82.36159,SP,NA,91.8,NA,N/D,NA,0.43,0.34,-1,26.15,SP
Lambton Kent DSB,895148,Blenheim District High School,English,163 Chatham,Blenheim,N0P1A0,349,42.33356,-81.99223,4.6,SP,24.4,NA,0.76,0,0.48,0.68,-3,14.5,SP
Lambton Kent DSB,919322,Chatham-Kent Secondary School,English,285 McNaughton,Chatham,N7L2G7,1161,42.42163,-82.19134,4.8,SP,20,1.8,0.77,-5,0.33,0.81,-3,20.25,5.09
Lambton Kent DSB,890861,Great Lakes Secondary School,English,275 Wellington Street,Sarnia,N7T1H1,NA,42.9682,-82.4013,NA,NA,NA,NA,0.7,NA,0.42,0.7,NA,NA,NA
Lambton Kent DSB,918938,John McGregor Secondary School,English,300 Cecile,Chatham,N7M2C6,650,42.38295,-82.17417,3.7,NA,47.8,SP,0.74,-2,0.57,0.74,25,22.96,3.66
Lambton Kent DSB,921408,Lambton Central Collegiate and Vocational Institute,English,4141 Dufferin,Petrolia,N0N1R0,826,42.87854,-82.15076,2.2,SP,18.8,SP,0.89,18,0.55,0.82,-2,11.81,5.65
Lambton Kent DSB,921530,Lambton Kent Composite School,English,231 St George,Dresden,N0P1M0,297,42.59583,-82.17788,SP,NA,24.6,NA,0.87,-5,0.42,0.72,-1,16.03,SP
Lambton Kent DSB,910228,North Lambton Secondary School,English,15-19 George,Forest,N0N1J0,572,43.09386,-82.00325,2.1,SP,20.6,SP,0.71,-15,0.43,0.83,-1,19.27,SP
Lambton Kent DSB,930636,Northern Collegiate Institute and Vocational School,English,940 Michigan,Sarnia,N7S2B1,1024,42.99897,-82.3742,6.2,1.6,16.7,2.5,0.88,2,0.56,0.92,2,13.46,9.7
Lambton Kent DSB,938696,Ridgetown District High School,English,9 Harold,Ridgetown,N0P2C0,205,42.44467,-81.88203,5.9,SP,29.3,SP,1,12,0.38,0.64,-13,15.49,SP
Lambton Kent DSB,948446,Tilbury District High School,English,97 Queen,Tilbury,N0P2L0,362,42.25212,-82.43353,30.7,SP,23.2,NA,0.68,6,0.43,0.56,-20,16.97,SP
Lambton Kent DSB,950521,Wallaceburg District Secondary School,English,920 Elgin,Wallaceburg,N8A3E1,673,42.59635,-82.39112,SP,SP,32.8,SP,0.68,-7,0.4,0.64,-1,26.55,1.71
Limestone DSB,893773,Bayridge Secondary School,English,1059 Taylor Kidd,Kingston,K7M6J9,716,44.25111,-76.5957,9.8,1.7,28.9,NA,0.83,3,0.39,0.81,6,14.8,15.29
Limestone DSB,909181,Ernestown Secondary School,English,50 Main,Odessa,K0H2H0,558,44.27701,-76.72722,SP,NA,38.2,NA,0.51,-19,0.31,0.84,11,13.73,4.04
Limestone DSB,936740,Frontenac Learning Centre,English,38 Cowdy,Kingston,K7K3V9,549,44.25392,-76.50195,SP,SP,48.3,NA,N/D,NA,N/R,N/R,NA,36.32,2.26
Limestone DSB,911135,Frontenac Secondary School,English,1789 Bath,Kingston,K7M4Y3,862,44.23707,-76.57679,4.1,SP,22.3,SP,0.84,3,0.45,0.86,4,14.11,8.14
Limestone DSB,911585,Gateway Community Education Centre,English,33 Advance,Napanee,K7R3Y5,NA,44.25586,-76.95653,NA,NA,NA,NA,NA,NA,NA,N/R,NA,NA,NA
Limestone DSB,930348,Granite Ridge Education Centre Secondary School,English,14432 Road,Sharbot Lake,K0H2P0,186,44.78436,-76.67938,SP,NA,59.1,NA,0.56,-39,N/R,0.74,7,29,8.24
